,Segment_ID,Year,Route,Latitude,Longitude,GPS_Valid,Postmile_Distance,Ahead_AADT,Ahead_Peak_Hourly,Ahead_Peak_Monthly,Ahead_Collisions,Cluster
125,23416,2014,1,35.52715953,-121.04478130000001,True,0.8599999999999994,8600,1200,10200,1,0
126,23417,2014,1,35.53735789,-121.0536892,True,1.4099999999999966,8500,1200,9600,2,0
127,23418,2014,1,35.55133898,-121.07160400000001,True,6.544000000000002,7550,1000,10300,7,0
128,23419,2014,1,35.61553994,-121.14707659999998,True,1.5859999999999983,3400,760,5100,0,0
129,23420,2014,1,35.63403308,-121.1638114,True,2.509999999999998,3050,480,4400,1,0
130,23421,2014,1,35.65105009,-121.2028262,True,12.440999999999995,2700,390,3300,0,0
131,23422,2014,1,35.76443902,-121.3194102,True,2.983000000000004,2350,390,3300,1,0
132,23423,2014,1,35.79521461,-121.34525719999999,True,2.4774666666666665,0,0,0,0,0
133,23424,2014,1,35.79521461,-121.34525719999999,False,35.346,2300,400,3200,12,3
134,23425,2014,1,36.15344978,-121.66573840000001,True,11.249000000000002,2800,490,4500,9,0
135,23426,2014,1,36.24999883,-121.78614840000002,False,16.377000000000002,4300,760,6500,20,3
136,23427,2014,1,36.41675818,-121.9139771,True,5.362999999999992,4900,630,5800,8,0
137,23428,2014,1,36.48805377,-121.9377341,True,2.8440000000000083,8100,920,10400,9,0
138,23429,2014,1,36.52297764,-121.92649209999999,True,1.4350000000000025,14200,1550,14700,4,0
139,23430,2014,1,36.53940447,-121.91023059999999,True,0.30700000000000216,14000,1300,14500,3,0
140,23431,2014,1,36.54342097,-121.90838000000001,True,0.8789999999999907,33900,3150,35500,19,3
141,23432,2014,1,36.55597196,-121.91115249999999,True,1.335000000000008,42000,3100,47000,9,1
142,23433,2014,1,36.57462928,-121.9122514,True,0.597999999999999,52000,4250,56000,8,1
143,23434,2014,1,36.58023944,-121.90388829999999,True,0.0210000000000008,52000,4250,55000,1,1
144,23435,2014,1,36.5804248727,-121.903586584,True,1.625,50000,4050,52000,14,1
145,23436,2014,1,36.591257777399996,-121.88045144899999,True,0.7399999999999949,77000,5800,80000,16,1
146,23437,2014,1,36.59503415,-121.8684166,True,0.7639999999999958,58000,5200,65000,13,1
147,23438,2014,1,36.60430807,-121.86099320000001,True,0.4740000000000038,72000,6800,75000,10,1
148,23439,2014,1,36.61010095,-121.8578041,True,1.3220000000000027,71000,6200,74000,15,1
149,23440,2014,1,36.62398786,-121.84203959999999,True,2.2109999999999985,83000,8100,88000,15,1
150,23441,2014,1,36.647455553200004,-121.81530410799999,True,1.593999999999994,79000,7900,86000,14,1
151,23442,2014,1,36.66941266,-121.8128726,True,0.6510000000000105,64900,6800,72000,6,1
152,23443,2014,1,36.67781225,-121.8074459,True,1.3459999999999894,43700,4900,48000,2,1
153,23444,2014,1,36.69652008,-121.80475359999998,True,2.1570000000000107,42000,4900,47000,4,1
154,23445,2014,1,36.72510879,-121.789442,True,0.546999999999997,45000,4000,49000,1,1
155,23446,2014,1,36.73131912,-121.78322959999998,True,1.203000000000003,45000,4800,47000,3,1
156,23447,2014,1,36.7456598137,-121.771195211,True,0.5909999999999941,47000,4800,55000,6,1
157,23448,2014,1,36.75300988,-121.76563909999999,True,1.2339999999999949,17700,3250,20500,3,0
158,23449,2014,1,36.77080536,-121.76539140000001,True,2.187000000000012,31000,3500,36000,7,0
159,23450,2014,1,36.78040238,-121.7777631,True,1.7009999999999934,31000,3500,36000,11,0
160,23451,2014,1,36.80408454,-121.78378490000001,True,3.8190000000000026,37000,4050,42500,16,1
161,23452,2014,1,36.85381096,-121.7710812,True,1.1200000000000043,34800,3650,40500,1,1
162,23453,2014,1,36.86986627,-121.77005829999999,True,0.9909999999999995,35000,3300,40000,10,1
163,23454,2014,1,36.88383187,-121.7722597,True,3.4010333333333334,0,0,0,0,0
